Sample,Depth,Soil_fertility,Microbial_diversity,No.Fires,CLF,Salv_log,TSD,Slope,Elevation,Ammonium.Nitrogen,Nitrate.Nitrogen,Phosphorus.Colwell,Potassium.Colwell,Organic.Carbon_prop,DTPA.Copper,DTPA.Iron,DTPA.Manganese,Exc..Magnesium,pH.Level..CaCl2.,Fungi_020cm,Bacteria_020cm,Archaea_020cm
39197,2030cm,-0.097089081,0.362999447,1,1,0,35,4.5844402,796.9489746,23,16,13,133,0.0491,0.13,317.62,1.63,0.17,3.9,3.647410347,6.331663758,3.620739131
39201,2030cm,1.246406353,-0.10596472,1,1,0,35,2.8287101,804.7030029,74,42,28,250,0.0465,0.18,434.14,7.55,0.86,3.4,3.526615804,6.156782634,3.513955299
39203,2030cm,-0.312083581,-1.442639197,1,1,0,9,11.0683002,559.1450195,23,9,10,106,0.0556,0.43,154.54,0.92,0.22,4.2,3.118738159,5.640093072,3.315411289
39205,2030cm,-0.486024055,-0.189068175,1,1,0,9,5.1790199,517.7680054,19,5,8,119,0.0536,0.42,162.58,0.62,0.23,4.1,3.811490724,6.072010066,3.255550249
39207,2030cm,-0.662673024,0.558319338,1,1,0,9,13.8471003,575.2999878,26,2,11,93,0.0451,0.34,116.81,0.55,0.28,4.4,3.681568739,6.55429071,3.397366742
39209,2030cm,-0.238718595,-0.023456384,1,0,0,79,8.4603996,591.3590088,31,35,10,142,0.0518,0.26,114.16,0.33,0.23,4.2,3.435003303,6.230591472,3.576671131
39211,2030cm,0.253880974,-0.130290378,2,0,0,35,24.6075001,752.6459961,34,86,20,176,0.0458,0.12,226.66,2.26,0.27,3.9,3.462635273,6.294603776,3.292528553
39213,2030cm,0.031081463,-0.131163893,1,0,0,79,4.6419702,784.5059814,29,17,19,81,0.0559,0.15,351.44,0.86,0.25,3.8,4.848830013,6.10563042,2.103678226
39215,2030cm,-0.17394119,-0.57793516,1,0,0,79,4.2620201,748.5269775,33,28,16,89,0.0445,0.08,304.23,0.58,0.23,3.7,4.015502368,5.98768198,2.711403989
39217,2030cm,0.200793019,-0.29848267,2,0,0,35,16.7693996,813.7639771,43,37,28,98,0.0497,0.14,316.67,0.68,0.25,3.9,4.218075563,6.083304976,2.645546971
39221,2030cm,0.381177022,-0.079969465,1,1,0,9,10.2816,556.7020264,27,15,15,156,0.0589,0.38,328.53,1.98,0.46,4,3.347313124,6.244927298,3.57791365
39223,2030cm,-0.318028009,0.266415685,1,0,0,79,10.5213003,585.1450195,19,10,10,140,0.0501,0.27,156.03,1.69,0.31,4.1,3.822369784,6.221187283,3.517631272
39225,2030cm,-0.29719379,1.023878735,1,1,0,35,10.8725996,697.2340088,34,13,11,127,0.0518,0.2,136.58,0.65,0.13,4.3,4.247318656,6.426479905,3.580650409
39227,2030cm,-0.017313758,-0.472159902,1,1,0,9,6.3165798,817.5020142,28,26,10,144,0.0473,0.15,187.48,1.91,0.66,4.1,3.655545811,6.021938861,3.177915153
39229,2030cm,0.159753257,0.381576566,2,0,0,35,11.3853998,664.8950195,31,35,12,215,0.0451,0.19,184.27,2.63,0.5,4.1,3.843134891,6.429907477,3.237394171
39231,2030cm,-0.215314101,-0.472134353,1,0,0,79,14.7988997,740.4910278,43,14,10,124,0.0465,0.22,150.21,0.53,0.38,4.3,3.596031547,6.062553575,3.166909988
